3:58:46:472:702:484,3:58:46:670:710:927
3:59:46:889:820:777,3:59:47:88:593:145
4:0:47:104:370:510,4:0:47:100:893:314
4:1:47:320:370:121,4:1:47:599:384:100
4:2:47:529:718:413,4:2:47:539:932:318
4:3:47:740:950:683,4:3:47:735:869:209
4:4:47:971:368:551,4:4:48:0:23:119
4:5:48:273:486:968,4:5:48:266:945:385
4:6:48:377:883:61,4:6:48:377:556:443
4:7:48:796:491:958,4:7:48:988:820:426
4:8:49:57:833:476,4:8:49:53:734:973
4:9:49:418:327:82,4:9:49:615:405:247
4:10:49:833:456:410,4:10:50:34:219:877
4:11:50:247:366:28,4:11:50:448:507:228
4:12:50:661:944:937,4:12:50:865:164:933
4:13:50:874:291:39,4:13:50:876:859:734
4:14:50:999:708:728,4:14:51:10:697:792
4:15:51:89:671:243,4:15:51:99:659:332
4:16:52:222:67:686,4:16:52:236:391:251
4:17:52:342:924:994,4:17:52:353:491:495
4:18:52:395:305:373,4:18:52:404:30:924
4:19:52:749:621:971,4:19:52:962:702:996
4:20:53:165:753:908,4:20:53:385:228:843
4:21:53:590:263:518,4:21:53:800:965:937
4:22:54:2:100:904,4:22:54:217:696:944
4:23:54:260:836:960,4:23:54:277:651:821
4:24:54:422:727:155,4:24:54:437:203:80
4:25:54:835:783:506,4:25:55:52:908:614
4:26:55:71:375:210,4:26:55:132:609:5
4:27:55:464:312:91,4:27:55:685:419:264
4:28:55:882:495:712,4:28:56:97:891:31
4:29:56:294:956:738,4:29:56:514:633:499
4:30:56:711:157:353,4:30:56:931:876:845
4:31:56:925:639:182,4:31:56:942:914:358
4:32:57:148:233:800,4:32:57:168:817:487
4:33:57:550:317:381,4:33:57:771:556:274
4:34:57:967:64:926,4:34:58:187:790:317
4:35:58:382:965:249,4:35:58:604:657:22
4:36:58:603:479:911,4:36:58:630:899:660
4:37:59:10:777:318,4:37:59:232:926:746
4:38:59:224:370:816,4:38:59:243:699:852
4:39:59:640:475:795,4:39:59:876:691:703
4:40:59:874:314:552,4:40:59:896:915:522
4:42:0:65:230:660,4:42:0:85:376:9
4:43:0:478:362:935,4:43:0:701:727:910
4:44:0:688:673:554,4:44:0:722:190:235
4:45:1:100:285:17,4:45:1:330:57:217
4:46:1:513:750:336,4:46:1:747:5:751
4:47:1:725:907:451,4:47:1:862:771:819
4:48:1:934:981:512,4:48:1:969:446:531
4:49:2:349:367:597,4:49:2:587:315:219
4:50:2:559:545:661,4:50:2:601:791:466
4:51:2:971:333:434,4:51:3:215:572:333
4:52:3:183:810:45,4:52:3:227:978:88
4:53:3:394:934:88,4:53:3:439:710:475
4:54:3:806:858:758,4:54:4:55:466:638
4:55:4:222:135:760,4:55:4:472:135:120
4:56:4:640:732:10,4:56:4:897:554:742
4:57:4:856:751:943,4:57:4:915:541:672
4:58:5:67:149:595,4:58:5:120:457:272
4:59:5:474:453:305,4:59:5:728:90:805
