1:43:49:807:133:925,1:43:49:807:265:883
1:44:9:836:846:444,1:44:9:837:238:763
1:44:29:865:228:284,1:44:29:866:12:743
1:44:49:895:822:367,1:44:49:893:762:23
1:45:9:907:589:953,1:45:9:908:378:606
1:45:29:937:988:933,1:45:29:937:608:919
1:45:49:953:321:763,1:45:49:950:786:839
1:46:9:964:786:447,1:46:9:965:436:671
1:46:29:994:18:537,1:46:29:994:648:60
1:46:50:24:785:37,1:46:50:25:586:913
1:47:10:55:816:577,1:47:10:55:967:81
1:47:30:82:429:296,1:47:30:82:360:4
1:47:50:113:684:416,1:47:50:112:303:731
1:48:10:133:947:497,1:48:10:134:461:895
1:48:30:162:938:207,1:48:30:163:105:793
1:48:50:192:779:201,1:48:50:192:622:628
1:49:10:222:15:653,1:49:10:219:712:963
1:49:30:253:249:813,1:49:30:250:686:842
1:49:50:281:645:719,1:49:50:281:688:542
1:50:10:400:196:776,1:50:10:382:539:383
