2:0:21:663:526:958,2:0:21:661:779:436
2:0:41:689:504:787,2:0:41:688:18:662
2:1:1:721:500:941,2:1:1:720:535:276
2:1:21:754:549:902,2:1:21:752:974:719
2:1:41:783:844:696,2:1:41:782:31:202
2:2:1:805:274:747,2:2:1:803:167:303
2:2:21:832:871:109,2:2:21:830:678:439
2:2:41:862:745:257,2:2:41:861:94:709
2:3:1:911:417:844,2:3:1:912:21:651
2:3:21:939:71:579,2:3:21:936:834:592
2:3:41:968:579:636,2:3:41:968:337:927
2:4:1:996:745:505,2:4:1:994:618:463
2:4:22:25:310:680,2:4:22:24:495:971
2:4:42:57:864:12,2:4:42:55:623:192
2:5:2:93:172:992,2:5:2:90:876:16
2:5:22:124:737:951,2:5:22:122:401:320
2:5:42:155:89:688,2:5:42:152:61:197
2:6:2:230:280:731,2:6:2:234:898:333
2:6:22:283:905:629,2:6:22:297:954:473
2:6:42:311:921:290,2:6:42:309:496:927
2:7:2:346:362:644,2:7:2:348:811:996
2:7:22:398:124:840,2:7:22:395:808:275
2:7:42:468:495:195,2:7:42:466:274:659
2:8:2:506:431:235,2:8:2:503:14:819
2:8:22:576:95:535,2:8:22:612:678:530
2:8:42:604:763:969,2:8:42:601:561:199
2:9:2:636:212:265,2:9:2:632:906:759
2:9:22:674:603:230,2:9:22:673:948:334
2:9:42:707:55:147,2:9:42:705:891:7
2:10:2:723:560:883,2:10:2:720:282:315
2:10:22:760:947:624,2:10:22:757:955:483
2:10:42:792:599:97,2:10:42:789:938:185
2:11:2:805:142:129,2:11:2:802:162:686
2:11:22:872:305:866,2:11:22:869:775:363
2:11:42:955:902:956,2:11:42:965:584:28
2:12:3:44:581:422,2:12:3:56:15:136
2:12:23:154:335:651,2:12:23:163:293:452
2:12:43:186:944:926,2:12:43:187:558:722
2:13:3:281:788:229,2:13:3:289:650:808
2:13:23:399:120:24,2:13:23:412:878:835
2:13:43:446:574:977,2:13:43:514:679:13
2:14:3:473:117:858,2:14:3:469:902:446
2:14:23:501:443:80,2:14:23:497:760:918
2:14:43:554:485:610,2:14:43:550:595:214
2:15:3:566:302:966,2:15:3:563:635:798
2:15:23:591:908:661,2:15:23:588:58:923
2:15:43:630:439:342,2:15:43:627:799:47
2:16:3:659:353:826,2:16:3:656:865:238
2:16:23:785:925:199,2:16:23:799:289:239
2:16:43:876:340:293,2:16:43:880:709:251
2:17:3:944:783:643,2:17:3:941:447:120
2:17:24:35:824:306,2:17:24:77:447:760
2:17:44:66:541:761,2:17:44:62:407:466
2:18:4:149:132:719,2:18:4:186:501:918
2:18:24:224:432:736,2:18:24:233:478:586
2:18:44:291:358:329,2:18:44:314:365:676
2:19:4:363:652:527,2:19:4:421:126:417
2:19:24:460:951:435,2:19:24:494:642:831
2:19:44:581:475:779,2:19:44:613:351:507
2:20:4:595:288:188,2:20:4:590:429:80
2:20:24:672:395:520,2:20:24:728:946:530
2:20:44:774:612:24,2:20:44:793:816:727
2:21:4:794:225:60,2:21:4:789:392:762
2:21:24:888:114:404,2:21:24:906:18:466
2:21:44:943:366:410,2:21:44:940:6:336
2:22:5:104:417:828,2:22:5:117:237:0
2:22:25:203:182:399,2:22:25:295:402:180
2:22:45:232:652:211,2:22:45:232:943:748
2:23:5:287:740:167,2:23:5:493:893:828
2:23:25:595:556:345,2:23:25:611:733:148
2:23:45:874:168:879,2:23:45:950:935:100
2:24:5:905:41:291,2:24:5:900:427:708
2:24:26:11:139:46,2:24:26:34:613:540
2:24:46:122:910:66,2:24:46:134:762:688
2:25:6:159:492:477,2:25:6:155:23:876
2:25:26:264:987:20,2:25:26:284:737:308
2:25:46:294:299:750,2:25:46:308:286:115
2:26:6:330:263:259,2:26:6:325:647:343
2:26:26:362:578:466,2:26:26:360:468:173
2:26:46:397:571:826,2:26:46:393:58:972
2:27:6:483:677:88,2:27:6:524:772:353
2:27:26:515:811:546,2:27:26:512:88:93
2:27:46:548:83:410,2:27:46:544:118:613
2:28:6:644:3:557,2:28:6:642:214:989
2:28:26:671:997:813,2:28:26:668:745:86
2:28:46:702:550:121,2:28:46:701:11:203
2:29:6:804:554:954,2:29:6:827:626:877
2:29:26:837:335:627,2:29:26:834:682:253
2:29:46:865:763:838,2:29:46:863:224:829
2:30:6:920:352:475,2:30:6:979:705:534
